,DetWake Periods,DetSleep Consistency,DetRespiratory Rate,DetTotal Cycle Sleep Time (hours),DetREM Percentage,DetDeep Sleep Percentage,DetRestorative Sleep (hours),DetRestorative Sleep (%)
0,8.0,76.0,15.0,7.18,22.6,20.8,3.34,43.3
1,10.0,74.0,16.1719,6.04,33.3,15.0,3.22,48.3
2,12.0,74.0,16.1133,8.1,33.3,10.4,3.86,43.7
3,8.0,62.0,15.3223,7.4,31.6,23.2,4.25,54.8
4,15.0,72.0,15.498,7.43,25.2,22.8,4.17,48.0
5,11.0,58.0,15.9961,6.8,52.8,22.0,5.61,74.8
6,9.0,73.0,16.1133,5.64,25.7,16.5,3.1,42.2
7,11.0,41.0,17.1094,8.19,36.7,22.1,5.11,58.8
8,8.0,63.0,16.6992,7.01,38.3,19.3,4.24,57.5
9,9.0,64.0,17.5195,5.82,37.3,23.7,3.84,61.0
10,10.0,72.0,15.9375,9.42,25.2,17.3,4.59,42.5
11,11.268572720614685,55.0,15.7617,6.66,30.5,26.4,3.19,56.9
12,4.0,63.0,16.582,9.98,33.0,21.1,4.7,54.1
13,7.839086126925295,54.0,16.2598,9.93,24.9,24.2,4.3,49.0
14,11.0,63.0,16.0547,8.24,16.3,24.2,3.68,40.4
15,7.0,47.0,16.6992,9.19,30.9,21.6,5.15,52.5
16,9.644572970376856,58.0,16.6406,6.94,24.5,23.1,3.42,47.6
17,12.0,58.0,16.6992,8.59,24.1,23.0,4.3,47.1
18,8.0,62.0,17.2266,5.6,31.9,28.9,3.7,60.9
19,10.0,72.0,16.875,6.89,17.9,21.5,2.99,39.4
20,14.0,62.0,16.6113,7.29,26.7,22.3,4.16,49.0
21,5.0,57.0,16.6992,4.13,32.2,22.9,2.62,55.2
22,8.0,72.0,17.2852,7.69,23.3,25.4,4.04,48.7
23,10.0,77.0,16.9336,5.95,27.1,18.0,2.9,45.1
24,12.003436324850291,52.0,15.7324,8.36,27.3,17.4,3.88,44.6
25,9.0,60.0,15.2344,7.38,29.0,15.7,3.45,44.6
26,12.0,66.0,15.4102,7.7,23.4,16.9,3.36,40.3
27,12.0,61.0,14.8828,7.71,12.8,18.5,2.32,31.3
28,15.0,71.0,14.7656,8.28,22.5,21.5,3.93,43.9
29,8.0,67.0,15.5566,8.09,16.5,18.9,3.3,35.4
30,12.0,71.0,15.3809,8.28,17.4,15.9,2.99,33.3
31,12.0,69.0,17.2559,7.85,26.7,22.3,4.11,49.0
32,11.0,80.0,17.4316,7.33,43.1,20.2,4.98,63.4
33,2.0,78.0,17.3438,6.37,35.1,22.0,3.71,57.1
34,9.010212817765321,46.0,17.4609,6.34,43.7,19.5,4.15,63.2
35,12.036264607121872,49.0,16.075,5.11,11.2,17.0,1.39,28.2
36,8.0,52.0,18.3398,4.11,21.8,17.4,1.98,39.2
37,9.0,54.0,17.1826,7.58,15.3,4.8,1.68,20.1
38,8.682047116800234,53.0,16.9336,5.21,50.7,14.9,3.53,65.6
39,16.0,60.0,17.3438,5.98,26.1,24.0,3.61,50.1
40,11.0,59.0,16.7578,8.24,15.0,9.4,2.15,24.4
41,7.0,51.0,18.5156,6.1,6.6,26.8,2.17,33.4
42,19.0,65.23166110725788,18.9551,6.66,21.9,19.9,3.47,41.8
43,14.0,68.12766043570628,18.8086,6.72,12.3,16.1,2.1,28.3
44,15.0,83.0,19.043,6.22,7.7,25.7,2.29,33.4
45,14.0,75.0,18.0469,6.23,16.2,11.0,1.9,27.2
46,8.803597261882807,77.0,18.9844,8.1,30.5,16.4,3.92,46.9
47,12.81527203103424,85.0,19.5703,7.01,25.4,18.6,3.24,44.0
48,9.874570414438615,79.0,19.3066,8.25,41.5,19.2,5.16,60.6
49,7.0,73.0,19.3945,9.2,39.5,16.0,5.42,55.5
50,9.0,77.0,18.8672,7.9,34.9,22.2,4.76,57.1
51,13.0,80.0,18.6914,7.93,40.1,10.4,4.37,50.5
52,9.0,80.0,18.5156,8.08,30.9,15.4,3.94,46.4
53,10.0,41.0,18.6328,8.74,25.2,19.9,4.26,45.0
54,9.0,57.0,19.3945,7.2,33.8,16.4,3.99,50.2
